Base Job ID,Base Job Title,Tested Case ID,Permutation Profile,Calculated Jaccard Score,System Action Decision
JOB_05,DevOps Cloud Engineer,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.7812,
JOB_06,QA Automation Engineer,Case 1,Completely same jobs (Exact word match),1.0,
JOB_06,QA Automation Engineer,Case 2,Job title same but different employer and description,0.0,
JOB_06,QA Automation Engineer,Case 3,Job employer same but different title and description,0.0,
JOB_06,QA Automation Engineer,Case 4,Same description but different employer and title,0.8462,
JOB_06,QA Automation Engineer,Case 5,Job title and employer same but different description,0.0,
JOB_06,QA Automation Engineer,Case 6,Employer and description same but different title,0.92,
JOB_06,QA Automation Engineer,Case 7,Title and description same but different employer,0.8462,
JOB_06,QA Automation Engineer,Case 8,All attributes completely different,0.0,
JOB_06,QA Automation Engineer,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.7742,
JOB_07,Machine Learning Engineer,Case 1,Completely same jobs (Exact word match),1.0,
JOB_07,Machine Learning Engineer,Case 2,Job title same but different employer and description,0.0,
JOB_07,Machine Learning Engineer,Case 3,Job employer same but different title and description,0.0,
JOB_07,Machine Learning Engineer,Case 4,Same description but different employer and title,0.84,
JOB_07,Machine Learning Engineer,Case 5,Job title and employer same but different description,0.0,
JOB_07,Machine Learning Engineer,Case 6,Employer and description same but different title,0.9167,
JOB_07,Machine Learning Engineer,Case 7,Title and description same but different employer,0.84,
JOB_07,Machine Learning Engineer,Case 8,All attributes completely different,0.0,
JOB_07,Machine Learning Engineer,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.7667,
JOB_08,Mobile iOS Developer,Case 1,Completely same jobs (Exact word match),1.0,
JOB_08,Mobile iOS Developer,Case 2,Job title same but different employer and description,0.0,
JOB_08,Mobile iOS Developer,Case 3,Job employer same but different title and description,0.0,
JOB_08,Mobile iOS Developer,Case 4,Same description but different employer and title,0.8621,
JOB_08,Mobile iOS Developer,Case 5,Job title and employer same but different description,0.0,
JOB_08,Mobile iOS Developer,Case 6,Employer and description same but different title,0.9286,
JOB_08,Mobile iOS Developer,Case 7,Title and description same but different employer,0.8621,
JOB_08,Mobile iOS Developer,Case 8,All attributes completely different,0.0,
JOB_08,Mobile iOS Developer,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.7941,
JOB_09,Cybersecurity Analyst,Case 1,Completely same jobs (Exact word match),1.0,
JOB_09,Cybersecurity Analyst,Case 2,Job title same but different employer and description,0.0,
JOB_09,Cybersecurity Analyst,Case 3,Job employer same but different title and description,0.0,
JOB_09,Cybersecurity Analyst,Case 4,Same description but different employer and title,0.8519,
JOB_09,Cybersecurity Analyst,Case 5,Job title and employer same but different description,0.0,
JOB_09,Cybersecurity Analyst,Case 6,Employer and description same but different title,0.9231,
JOB_09,Cybersecurity Analyst,Case 7,Title and description same but different employer,0.8519,
JOB_09,Cybersecurity Analyst,Case 8,All attributes completely different,0.0,
JOB_09,Cybersecurity Analyst,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.7812,
JOB_10,Scrum Product Owner,Case 1,Completely same jobs (Exact word match),1.0,
JOB_10,Scrum Product Owner,Case 2,Job title same but different employer and description,0.0,
JOB_10,Scrum Product Owner,Case 3,Job employer same but different title and description,0.0,
JOB_10,Scrum Product Owner,Case 4,Same description but different employer and title,0.8667,
JOB_10,Scrum Product Owner,Case 5,Job title and employer same but different description,0.0,
JOB_10,Scrum Product Owner,Case 6,Employer and description same but different title,0.931,
JOB_10,Scrum Product Owner,Case 7,Title and description same but different employer,0.8667,
JOB_10,Scrum Product Owner,Case 8,All attributes completely different,0.0,
JOB_10,Scrum Product Owner,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.8,
